rating,title,text,asin,user_id,timestamp
5,Awesome,Great,B07SYNTL34,NONJ4NL345K7XUXT5REPVGZNQ7E7Q,2020-09-13 03:09:31.216
4,Nice,Great!,B07SYNTL34,TPZYTKR4WAJA36TQJALZSYLKYL365A,2020-03-13 00:47:29.637
5,Five Stars,Perfect,B00HUWPH2W,NEKZSQ2EJVALRKGRBG7VJ3EWHA4Q,2017-07-01 23:50:48.328
5,Five Stars,Good product,B000NLH9IC,FJBYPUUOBK77J75CRT7PLQURW2SGA,2015-04-20 21:07:38
2,Two Stars,Just okay,B001KYO2KY,ZEQUXUTZNBBIM6BA22SBEDPDLPCZ6FA,2016-05-03 17:16:35.000
5,Five Stars,good item,B00OKOX5GI,AHUBF5BBGY7Q3C7HQQU7DLGLR27Q,2016-04-29 15:57:42.000
5,Five Stars,Great,B01N2B8SQ1,RDRQQIT74IMYZBCBF2SJJ3T25CVA,2018-03-26 12:33:27.938
5,Five Stars,Works great for me!,B01A90FMHQ,HKBX5YQVSQA6LFK7ETOKEZ4I2K2Q,2017-02-23 19:38:15.000
1,One Star,I will order again,B008A0PVM4,AGSVCIED4EQJ5I7QOMWXZFEGR77Q,2017-05-20 20:43:48.000
1,One Star,Didn’t work.,B00S8H9IVY,DZZXNE426GI3KQ76MRFB3W2IB2NA,2016-05-26 15:38:09
4,Five Stars,Great product!,B00GBBW848,HMWHMHTYMV7J7Y2Q76OET7I3FHTA,2016-06-22 06:30:57.000
5,Five Stars,good quality.,B000JWK4DM,QOKNQVKJ2ARGP76IUG6W2K56ZOP3SQ,2015-02-17 02:10:45.000
5,Five Stars,Good product.,B00HUWPH2W,UIQLZN35AHAIG3JD74K3T6F5DFD3Q,2017-12-30 17:13:11.102
2,Five Stars,These are the only GNC that works for me,B003PRICN2,XEBXSKWBJT3L3Q45H7K7QQQ3FV57Q,2017-04-08 14:09:33.000
4,Five Stars,Best ever the best products ever,B01J9UYQFG,ZHMI2BAWM357MAC26F4UDKGZ7PY2A,2017-06-17 18:55:51.082
5,Great,Doesn’t seem to bother my tummy or colon.,B00VKLMKGK,J6537E54DHDC3B7ZMEVT6DC6UDI3ZBQ,2015-05-24 22:45:36.000
5,Three Stars,"Works well as long enough to see suffering from any way to stay glide on the jar.<br />Thanks, the big reviews are top made.",B00NB8AJ8Q,LYOPLHBE7M5R6N24GDZ7T5W4O26JA,2016-01-19 00:33:07.000
4,Use it for about a year,"This is a good replacement for kids to use on your weight, it is not greasy. Great product for the price.<br />Great product",B001G7R018,OYOZW6D5ESABYAEWAS5YKEKUDXFRJA,2015-06-27 16:37:48
1,"Horrible flavor, nothing at the same.",I love the product. It does not really stopped working after a while. I don't know if the nitrate can get him to use it twice.,B00XA9ZJVI,OOBIUQPNQ6VIL26JB65D3UW5G2JRLKA,2017-03-10 14:47:24.000
4,Five Stars,"Great scale, easy to read and very accurate!",B00VWID4YS,AHUBFX7T333HI6DGZUI3XLIYS24LWBA,2016-02-27 00:00:35.000
2,Four Stars,Great tasting and as a smart body as a difference.,B01ATZCMMO,EQRQW55P2P36MEW7MBFOLMCC5NWLXQ,2017-02-13 19:24:20.000
5,Five Stars,Excellent quality!,B00L0LC7MY,RUSZUSF3X2G36ZXSX7N5W7I6L6SA,2015-10-15 20:25:11.000
