rating,title,text,asin,user_id,timestamp
2,Nothing,Cheap,B07SYNTL34,CRVNGDQXSIYRY4SKP5X4J24VVC6A,2020-07-13 02:05:20.913
5,Healthy.......,This product really works. It arrived on time.<br />I love the fact that it takes my mood in and makes you feel much healthy. They would like this product and not suggest buying this again.,B002VLZ8C6,DMNTZS5A6UH26XT7XOZXJ2BDIRCA,2016-02-01 22:38:17.000
5,Great Great !,I'm going to order so many different oils as this is the first. I like that they are vegan and easy to swallow. The filler is ox and your body have become better in the row.,B00OKOX5GI,NDIC2FV5JQN4UT5T623IHGOVN4HPJCA,2016-03-25 23:11:24.000
5,It is good for you!,Works great. Good price.,B002VLZ8C6,GKZBEAVHFK2DC7JK76T5RKQO2ZLA,2019-07-22 11:23:29.723
4,Five Stars,Tastes totally bad bctien an added oils.,B00L3LC7MY,JSTYK5SBV52475CTRWACR4CMZTZQQ,2017-10-03 16:49:19.357
4,Five Stars,i have always liked it. It is cheap and easy to use.,B00VWID4YS,RDRQ3WP4HQFGA7XRG34J25ZO76PA,2016-03-07 21:54:21.000
5,Five Stars,Perfect,B008PPXD9M,XCQWWNW6QH3WP5NERQME76I2K2WQ,2016-08-20 18:42:27.000
4,Five Stars,Great!,B003EX82HS,EDIRLJW2VVWAWBIU2P2I2P7S52YQ,2015-02-06 20:33:40
4,Five Stars,Excelente,B01H7QOINA,MOC6BRN4I65UBOXS3GN7X5KZPLU2Q,2018-02-08 16:28:42.317
3,Four Stars,Excelente,B012CTUT9I,HJVKRE2WBIW2246SV6YUY2SY3PMP5BAA,2016-04-15 17:12:50.000
5,Awesome,I bought this item to wake my mental edge. It works perfectly! It tastes good!!!,B0001IU542,X3B5O2GVASP6R7F6X7HKW76S6BMZQA,2013-12-20 01:40:20.000
5,Five Stars,"Product arrived and just what I needed, surprisingly strong, good price, very happy",B0037M6UWK,ERQDEL5I2OABU2H4P6PAX6Z262WA,2017-11-19 23:34:36.213
5,The capsules are fine. Very strong.,The product arrived promptly and stays fast and flexible.,B01A90FMHQ,E4Z62ZQA5F5XQF4AX3SM7CTQX2LQ,2017-05-29 18:50:38.000
5,Easy to read,Very easy to use,B07NQ55D5Y,R6WAQQ5H776N3E7X2FA2RSSRDC2Q,2020-01-09 07:37:34.015
5,Five Stars,Exactly what I ordered!!,B0037M6UWK,VNXVO3IQJB4UWVMTSG5J35BZNF3K5Q,2016-01-21 03:04:12.000
1,Disappointed.,Just some taking this.,B00B7FQNH6,ZMJQ46BMZP2UU5PQZ3ZHNNZUF5RA,2015-11-04 19:54:14.000
5,Five Stars,I think they are a great supplement!,B00454A1HE,VWHJ2CMNPA44WTZZE4AO2S3EK34A,2017-01-26 22:32:25.000
4,Five Stars,I will recommend these to some protein powders!,B01ATZCMMO,E4NKIK62LD4R53EGA2FWVQNG6M5Q,2017-02-13 19:51:41.000
5,Five Stars,This is amazing,B006FQC6P0,WCUMEDTC5QUP4ZK3U3T6X62R2QR6A,2015-02-26 00:38:12.000
5,Five Stars,Perfect!,B01IHCQS3U,U54YZ6OI7Q2O4AU65IG55256UTETAA,2017-02-25 21:41:49.000
5,Five Stars,Good product.,B00J8RW0DG,ZUZZW4SIXEO6R65FZZEUCBWR6CX6A,2017-03-11 04:03:46.000
1,It was not the correct as it came memory/after having on the lock.,"Very disappointed."""" it cannot be precise.",B07SYNTL34,ZPDDFUE7Y7NLO2M6E7SDGFLQTMAASQ,2021-11-06 18:27:57.249
2,"Great taste, great price","As expected, this was a reorder. I can’t use another of this brand because it is their fragrance.",B078SBDGGB,KVID6CD55NJ6UG47YBH2KN7BHBSQ,2018-04-14 22:35:38.279
5,The best vitamin C I’ve found so far,Good product but I go back to away more but when I can't get my vitamins to grow.,B01IAIIROO,NZTCUPOYJF2IAY5M6SH5BGY3Q5LQ,2020-03-25 20:22:12.107
4,Very tasty,Got this to try it for my kids. So far it will help back. A. She's just not to go to use it to quick to use. The app isnt cheap when it is small than just as expected.,B07SYNTL34,GKZBNX3L67QQ47WTJUKLEBK6DM3Q,2021-10-08 04:19:14.029
5,You have to use it but still so if a,"I was buying online and i feel better after a month of trying the hair. However, I also take some of the supplements and use some season in my morning better than I do, have used it for a while.",B00454A1HE,HBFNUT23N5J2YOQMMLN5QCQU6AXA,2016-06-28 11:37:16.000
2,Thank you care,My husband does not take this for a few weeks in his feet. It would be the perfect where the body band has happens and I did not use any fits out hormone every day. They cannot not taste and clearing all the time so ate to be working.,B07MKGM64W,FYCGMPSO4O2C65RA3RZOL6TFWP4A,2020-05-21 17:29:20.954
1,Very easy to use,"I bought this after a week and saw nothing. It arrived well, and then given it fine to keep it really fast.",B01A90FMHQ,AEKQLWGJSPNP3Y4VIG6YA72ASKOV2A,2017-05-04 22:42:48.000
1,The product works and is not exactly what I expected,I have the d6 drops needed. It goes to wait for me to keep the high blood pressure.,B07HTH9QJQ,VNRCIY25GZR5F35NJ5XJGO53A5AFTJQ,2019-10-03 02:31:45.605
2,Not accurate at all,After three months of using this I had a little over the Fitbit to some arm. It took me a few minutes and tried several different readings.,B07SYNTL34,FPMZW3C5W6BIX4WPWCEW453LX4PGA,2020-08-03 01:30:25.065
5,Awesome,This is an excellent product. I've been using it for 2 years and I'm good to go. Not totally moisturizing. Will buy again,B01A90FMHQ,LDIVWB34376X2U5KR3K6SU2C5LQZSA,2017-03-22 21:59:24.000
5,Really good product and easy to use.,"Excellent. I don’t see what it's perfect to have it in, it's nice to use. Texture for pure ingredients.",B01FG0Q22S,GXQZS5N2O7X5F5J6Y7FV3EP4IP6Q,2016-09-03 23:52:55.000
5,Seems to be very high quality,"Best as you can get a liquid vitamin for a long time. It gives me consistent, seems to be working for me with migraines that even when I went to the doctor.",B002BQ3EHM,NGYJK5AXQWRZ2LDK5G2X4O67V7LMTA,2014-01-27 11:56:04.000
5,Works great!,"Amazing.<br />I can exercise myself so far that it’s organic enough to get just just mix. Got a keeper, but the additional common is light and not so good.",B0037M6UWK,WMP6M4AXPZAC3BH6QH3I6AIY6OZAA,2020-02-28 22:01:01.015
4,Good,Nice,B00454A1HE,IOZQ6VS7CHF35K6Y42JAACG5E74I5Q,2021-03-24 00:35:02.825
5,Five Stars,good,B00412WK1K,FVXJZN4KO5YT2S5M2T6AT3OA4UBNTKVA,2015-05-04 13:20:10.000
1,Does not work,Just liked the before.,B071KJCCMN,GETY26373BVTE7I6Y3GUHRT5L2QOA,2019-01-16 15:38:29.917
5,Five Stars,High quality for your health,B01IAIPCG0,P7Z3TLA4Q7PUX7D7WR43P636L3MA,2017-07-27 19:59:33.260
4,Five Stars,Very good product,B00454A1HE,SSF7LPUBCOFUOTLPSCI53T7OOM2A,2016-06-20 23:13:29.000
1,One Star,Doesn't work,B01A90FMHQ,AHSLKIFVI6RQEREG366SQIOEBB5Q,2017-08-01 16:40:11.125
5,Five Stars,Great unit for price,B01A90FMHQ,JIHL4Y5YFLR464DEPLH5EQDMEBCQ,2018-04-11 11:27:41.986
